ma_xa,ten_xa,sap_nhap,tru_so,loai,cap,stt,dtich_km2,dan_so,matdo_km2,ma_tinh,ten_tinh,ndvi_mean,ndvi_std,ndvi_min,ndvi_max,count,alert_low_green
22657,Diên Điền,"Diên Sơn, Diên Phú, Diên Điền",đang cập nhật,Xã,2,25,63.7,38029,597.0,56,Khánh Hòa,0.317,0.027,0.252,0.429,1507,False
22651,Diên Khánh,"Diên Khánh (thị trấn), Diên An, Diên Toàn",đang cập nhật,Xã,2,23,18.4,45223,2457.77,56,Khánh Hòa,0.286,0.021,0.196,0.339,6875,False
22678,Diên Lạc,"Diên Thạnh, Diên Lạc, Diên Hòa",đang cập nhật,Xã,2,24,14.9,23325,1565.44,56,Khánh Hòa,0.465,0.068,0.278,0.557,1846,False
22660,Diên Lâm,"Xuân Đồng, Diên Lâm",đang cập nhật,Xã,2,26,117.8,16059,136.32,56,Khánh Hòa,0.409,0.059,0.311,0.5,1317,False
22672,Diên Thọ,"Diên Tân, Diên Phước, Diên Thọ",đang cập nhật,Xã,2,27,73.6,16692,226.79,56,Khánh Hòa,0.548,0.068,0.41,0.736,1446,False
22738,Đô Vinh,"Đô Vinh, Nhơn Sơn",đang cập nhật,Phường,2,46,62.0,33207,535.6,56,Khánh Hòa,0.158,0.065,0.072,0.296,11302,True
22780,Đông Hải,"Mỹ Bình, Mỹ Đông, Mỹ Hải, Đông Hải (1 phần)",đang cập nhật,Phường,2,43,11.0,54615,4965.0,56,Khánh Hòa,0.419,0.091,0.269,0.496,6478,False
22732,Đông Khánh Sơn,"Sơn Trung, Ba Cụm Bắc, Ba Cụm Nam",đang cập nhật,Xã,2,40,114.3,10376,90.78,56,Khánh Hòa,0.369,0.093,0.3,0.483,11993,False
22561,Đông Ninh Hòa,"Ninh Diêm, Ninh Hải, Ninh Thủy, Ninh Phước",đang cập nhật,Phường,2,13,134.2,43484,324.02,56,Khánh Hòa,0.267,0.035,0.099,0.391,9448,False
22591,Hòa Thắng,"Ninh Giang, Ninh Hà, Ninh Phú",đang cập nhật,Phường,2,14,78.6,26822,341.25,56,Khánh Hòa,0.507,0.095,0.394,0.653,9057,False
22558,Hòa Trí,"Ninh Thượng, Ninh Trung, Ninh Thân",đang cập nhật,Xã,2,17,109.4,26638,243.49,56,Khánh Hòa,0.411,0.083,0.333,0.541,1996,False
22714,Khánh Sơn,"Tô Hạp (thị trấn), Sơn Hiệp, Sơn Bình",đang cập nhật,Xã,2,38,98.7,11535,116.87,56,Khánh Hòa,0.33,0.071,0.166,0.443,5630,False
22609,Khánh Vĩnh,"Khánh Vĩnh (thị trấn), Sông Cầu, Khánh Phú",đang cập nhật,Xã,2,37,192.4,11204,58.23,56,Khánh Hòa,0.276,0.073,0.143,0.373,7108,False
22813,Lâm Sơn,"Lương Sơn, Lâm Sơn",đang cập nhật,Xã,2,60,191.5,24247,126.62,56,Khánh Hòa,0.675,0.064,0.559,0.811,7423,False
22822,Mỹ Sơn,"Phước Trung, Mỹ Sơn",đang cập nhật,Xã,2,62,248.1,15800,63.68,56,Khánh Hòa,0.628,0.093,0.542,0.824,2354,False
22480,Nam Cam Ranh,"Cam Lập, Cam Bình, Cam Thịnh Đông, Cam Thịnh Tây",đang cập nhật,Xã,2,9,92.6,23525,254.05,56,Khánh Hòa,0.514,0.039,0.347,0.647,914,False
22648,Nam Khánh Vĩnh,"Cầu Bà, Khánh Thành, Liên Sang, Sơn Thái",đang cập nhật,Xã,2,36,197.1,10271,52.11,56,Khánh Hòa,0.357,0.068,0.252,0.54,7665,False
22402,Nam Nha Trang,"Phước Hải, Phước Long, Vĩnh Trường, Vĩnh Thái, Phước Đồng",đang cập nhật,Phường,2,4,82.2,130164,1583.5,56,Khánh Hòa,0.718,0.085,0.662,0.77,2014,False
22597,Nam Ninh Hòa,"Ninh Lộc, Ninh Ích, Ninh Hưng, Ninh Tân",đang cập nhật,Xã,2,15,201.4,31293,155.38,56,Khánh Hòa,0.488,0.031,0.293,0.568,11290,False
22366,Nha Trang,"Vạn Thạnh, Lộc Thọ, Vĩnh Nguyên, Tân Tiến, Phước Hòa",đang cập nhật,Phường,2,1,47.1,136118,2889.98,56,Khánh Hòa,0.41,0.069,0.355,0.59,4507,False
22834,Ninh Chử,"Văn Hải, Khánh Hải (thị trấn)",đang cập nhật,Phường,2,44,20.4,39556,1939.02,56,Khánh Hòa,0.69,0.052,0.622,0.825,11187,False
22852,Ninh Hải,"Phương Hải, Tri Hải, Bắc Sơn",đang cập nhật,Xã,2,54,100.1,31115,310.84,56,Khánh Hòa,0.342,0.081,0.222,0.465,5406,False
22528,Ninh Hòa,"Ninh Hiệp, Ninh Đa, Ninh Đông, Ninh Phụng",đang cập nhật,Phường,2,11,35.8,58816,1642.91,56,Khánh Hòa,0.568,0.025,0.487,0.673,5533,False
22870,Ninh Phước,"Phước Dân (thị trấn), Phước Thuận, Phước Hải",đang cập nhật,Xã,2,47,65.4,70203,1073.44,56,Khánh Hòa,0.338,0.069,0.238,0.432,9266,False
22810,Ninh Sơn,"Tân Sơn (thị trấn), Quảng Sơn",đang cập nhật,Xã,2,59,99.3,32003,322.29,56,Khánh Hòa,0.307,0.089,0.172,0.459,10879,False
22759,Phan Rang,"Kinh Dinh, Phủ Hà, Đài Sơn, Đạo Long",đang cập nhật,Phường,2,42,9.4,72250,7686.17,56,Khánh Hòa,0.571,0.07,0.377,0.676,2712,False
22888,Phước Dinh,"An Hải, Phước Dinh, Đông Hải (1 phần)",đang cập nhật,Xã,2,53,154.0,35301,229.23,56,Khánh Hòa,0.287,0.046,0.097,0.402,5757,False
22900,Phước Hà,"Nhị Hà, Phước Hà",đang cập nhật,Xã,2,52,230.0,8900,38.7,56,Khánh Hòa,0.446,0.072,0.385,0.613,2100,False
22873,Phước Hậu,"Phước Vinh, Phước Sơn, Phước Hậu",đang cập nhật,Xã,2,49,74.7,49465,662.18,56,Khánh Hòa,0.498,0.047,0.32,0.69,8641,False
22891,Phước Hữu,"Phước Thái, Phước Hữu",đang cập nhật,Xã,2,48,177.7,35572,200.18,56,Khánh Hòa,0.263,0.073,0.188,0.462,8611,False
22708,Suối Dầu,"Suối Cát, Cam Hòa (1 phần), Cam Tân (1 phần), Suối Tân (1 phần)",đang cập nhật,Xã,2,30,160.1,24185,151.06,56,Khánh Hòa,0.589,0.03,0.417,0.712,2385,False
22702,Suối Hiệp,"Suối Tiên, Bình Lộc, Suối Hiệp",đang cập nhật,Xã,2,28,55.3,24159,436.87,56,Khánh Hòa,0.479,0.042,0.385,0.55,10745,False
22576,Tân Định,"Ninh Xuân, Ninh Quang, Ninh Bình",đang cập nhật,Xã,2,12,92.4,40481,438.11,56,Khánh Hòa,0.523,0.023,0.365,0.577,11778,False
22720,Tây Khánh Sơn,"Sơn Lâm, Thành Sơn",đang cập nhật,Xã,2,39,125.6,7847,62.48,56,Khánh Hòa,0.373,0.027,0.215,0.497,10652,False
22624,Tây Khánh Vĩnh,"Giang Ly, Khánh Thượng, Khánh Nam",đang cập nhật,Xã,2,35,294.3,7357,25.0,56,Khánh Hòa,0.402,0.064,0.224,0.463,9787,False
22390,Tây Nha Trang,"Ngọc Hiệp, Phương Sài, Vĩnh Ngọc, Vĩnh Thạnh, Vĩnh Hiệp, Vĩnh Trung",đang cập nhật,Phường,2,3,27.9,108065,3873.3,56,Khánh Hòa,0.447,0.039,0.25,0.515,9109,False
22552,Tây Ninh Hòa,"Ninh Tây, Ninh Sim",đang cập nhật,Xã,2,16,275.9,17540,63.57,56,Khánh Hòa,0.432,0.061,0.341,0.517,3921,False
22849,Thuận Bắc,"Bắc Phong, Phước Kháng, Lợi Hải",đang cập nhật,Xã,2,57,137.2,25744,187.64,56,Khánh Hòa,0.555,0.073,0.411,0.754,11815,False
22897,Thuận Nam,"Phước Nam, Phước Ninh, Phước Minh",đang cập nhật,Xã,2,50,140.8,27262,193.62,56,Khánh Hòa,0.496,0.09,0.335,0.57,4239,False
22612,Trung Khánh Vĩnh,"Khánh Trung, Khánh Hiệp",đang cập nhật,Xã,2,34,338.5,7772,22.96,56,Khánh Hòa,0.4,0.048,0.338,0.467,6647,False
22736,Trường Sa,"Trường Sa (thị trấn), Song Tử Tây, Sinh Tồn",đang cập nhật,Đặc khu,2,41,496.3,153,0.31,56,Khánh Hòa,0.151,0.045,0.002,0.338,8672,True
22498,Tu Bông,"Vạn Khánh, Vạn Long, Vạn Phước",đang cập nhật,Xã,2,19,99.6,29751,298.7,56,Khánh Hòa,0.626,0.045,0.528,0.769,9474,False
22525,Vạn Hưng,"Xuân Sơn, Vạn Hưng",đang cập nhật,Xã,2,22,86.1,18883,219.31,56,Khánh Hòa,0.462,0.029,0.388,0.623,4451,False
22489,Vạn Ninh,"Vạn Giã (thị trấn), Vạn Phú, Vạn Lương",đang cập nhật,Xã,2,21,130.5,54202,415.34,56,Khánh Hòa,0.346,0.073,0.214,0.449,5472,False
22516,Vạn Thắng,"Vạn Bình, Vạn Thắng",đang cập nhật,Xã,2,20,74.8,31625,422.79,56,Khánh Hòa,0.45,0.086,0.331,0.64,6121,False
22846,Vĩnh Hải,"Nhơn Hải, Thanh Hải, Vĩnh Hải",đang cập nhật,Xã,2,56,161.2,36879,228.78,56,Khánh Hòa,0.206,0.058,0.069,0.402,4756,False
22861,Xuân Hải,"Hộ Hải, Tân Hải, Xuân Hải",đang cập nhật,Xã,2,55,43.4,45104,1039.26,56,Khánh Hòa,0.693,0.065,0.547,0.827,4463,False
